ProjectID,OrganizationID,ProjectName,ProjectCommonName,OperatingStartDate,OperatingEndDate,ContinuumProject,ProjectType,HousingType,ResidentialAffiliation,TrackingMethod,HMISParticipatingProject,TargetPopulation,HOPWAMedAssistedLivingFac,PITCount,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
942,7007,Coordinated Entry,Coordinated Entry,2010-01-01,,1,14,,,0,1,4,2,0,2022-05-03 00:00:00,2022-05-03 00:00:00,8,,E79AAC483B90809B4FDFFB272AA252BD
1546,7007,ES-EE ESG I,ES-EE ESG I,2020-10-01,,1,1,1,,0,1,4,2,0,2022-04-12 00:00:00,2022-04-12 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1547,7007,ES-EE ESG II (with CE elements),ES-EE ESG II (with CE elements),2018-05-01,,1,1,1,,0,1,4,0,0,2022-05-03 00:00:00,2022-05-03 00:00:00,8,,E79AAC483B90809B4FDFFB272AA252BD
1544,7007,ES-EE RHY,ES-EE RHY,2014-01-01,,1,1,1,,0,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1548,7007,ES-NbN ESG,ES-NbN ESG,2012-02-06,,1,1,1,,3,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1564,7007,HP ESG,HP ESG,2011-01-01,,1,12,,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1552,7007,PSH CoC I,PSH CoC I,2018-10-01,,1,3,2,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1550,7007,PSH HOWPA,PSH HOWPA,2010-11-01,,1,3,3,,,1,3,0,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1551,7007,PSH VASH,PSH VASH,2007-09-01,,1,3,1,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1554,7007,RRH CoC I,RRH CoC I,2019-06-01,,0,13,2,,,0,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1555,7007,RRH CoC II,RRH CoC II,2018-07-31,,1,13,3,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1556,7007,RRH ESG I,RRH ESG I,2021-07-01,,1,13,3,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1553,7007,RRH VA,RRH VA,2016-12-01,,1,13,3,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1557,7007,SH VA-HCHV,SH VA-HCHV,2016-10-01,,1,8,1,,,1,4,0,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1565,7007,SO CoC,SO CoC,2019-01-18,,1,4,,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1566,7007,SO ESG,SO ESG,2017-07-01,,1,4,,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1568,7007,SO PATH,SO PATH,2012-01-01,,1,4,,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1567,7007,SSO CoC,SSO CoC,2011-12-12,,1,6,,0,,1,4,2,0,2022-05-05 00:00:00,2022-05-05 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1561,7007,TH CoC,TH CoC,1996-07-01,,1,2,1,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1560,7007,TH ESG,TH ESG,2004-04-01,,1,2,2,,,1,4,1,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1558,7007,TH HOPWA,TH HOPWA,2014-10-28,,1,2,2,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1559,7007,TH RHY,TH RHY,2018-10-01,,1,2,3,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1563,7007,TH VA,TH VA,2017-07-01,,1,2,2,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
1562,7007,TH YHDP,TH YHDP,2018-07-31,,1,2,3,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,E79AAC483B90809B4FDFFB272AA252BD
