"1. Total number of persons served",24
"2. Number of adults (age 18 or over)",24
"3. Number of children (under age 18)",0
"4. Number of persons with unknown age",0
"5. Number of leavers",14
"6. Number of adult leavers",14
"7. Number of adult and head of household leavers",14
"8. Number of stayers",10
"9. Number of adult stayers",10
"10. Number of veterans",2
"11. Number of chronically homeless persons",5
"12. Number of youth under age 25",0
"13. Number of parenting youth under age 25 with children",0
"14. Number of adult heads of household",24
"15. Number of child and unknown-age Heads of household",0
"16. Heads of households and adult stayers in the project 365 days or more",5
