ProjectID,OrganizationID,ProjectName,ProjectCommonName,OperatingStartDate,OperatingEndDate,ContinuumProject,ProjectType,HousingType,ResidentialAffiliation,TrackingMethod,HMISParticipatingProject,TargetPopulation,HOPWAMedAssistedLivingFac,PITCount,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
1544,7007,ES-EE Three,,2014-01-01,,1,1,1,,0,1,4,2,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1546,7007,ES-EE One,,2020-10-01,,1,1,1,,0,1,4,2,,2022-04-12 12:00:00,2022-04-12 12:00:00,,,12345
1547,7007,ES-EE Two,,2018-05-01,,1,1,1,,0,1,4,0,,2022-05-03 12:00:00,2022-05-03 12:00:00,,,12345
1548,7007,ES-NbN One,,2012-02-06,,1,1,1,,3,1,4,2,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1550,7007,PSH Two,,2010-11-01,,1,3,3,,,1,3,0,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1551,7007,PSH Three,,2007-09-01,,1,3,1,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1552,7007,PSH One,,2018-10-01,,1,3,2,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1553,7007,RRH Four,,2016-12-01,,1,13,3,,,1,4,2,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1555,7007,RRH Two,,2018-07-31,,1,13,3,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1556,7007,RRH Three,,2021-07-01,,1,13,3,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1557,7007,SH One,,2016-10-01,,1,8,1,,,1,4,0,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1558,7007,TH Three,,2014-10-28,,1,2,2,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1559,7007,TH Four,,2018-10-01,,1,2,3,,,1,4,2,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1560,7007,TH Two,,2004-04-01,,1,2,2,,,1,4,1,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
1561,7007,TH One,,1996-07-01,,1,2,1,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1562,7007,TH Six,,2018-07-31,,1,2,3,,,1,4,2,,2022-04-11 12:00:00,2022-04-11 12:00:00,,,12345
1563,7007,TH Five,,2017-07-01,,1,2,2,,,1,4,2,,2022-04-10 12:00:00,2022-04-10 12:00:00,,,12345
