"Value","Cohort","Universe","HHType","Population","SystemPath","ProjectID","ReportRow","ReportID"
3,1,-1,3,15,-1,"",1,12345
3,1,-1,3,16,-1,"",1,12345
3,1,-1,3,23,-1,"",1,12345
5,1,-1,3,21,-1,"",1,12345
6,1,-1,3,12,-1,"",1,12345
7,1,-1,3,13,-1,"",1,12345
8,1,-1,3,5,-1,"",1,12345
9,1,-1,0,0,3,"",1,12345
9,1,-1,0,3,3,"",1,12345
9,1,-1,1,0,3,"",1,12345
9,1,-1,1,3,3,"",1,12345
9,1,-1,1,39,-1,"",1,12345
9,1,-1,1,45,-1,"",1,12345
9,1,-1,1,52,-1,"",1,12345
9,1,-1,3,22,-1,"",1,12345
10,1,-1,3,17,-1,"",1,12345
11,1,-1,99,7,-1,"",1,12345
13,1,-1,2,15,-1,"",1,12345
14,1,-1,3,0,-1,"",1,12345
14,1,-1,3,0,1,"",1,12345
15,1,-1,0,89,-1,"",1,12345
15,1,-1,1,89,-1,"",1,12345
16,1,-1,0,13,-1,"",1,12345
17,1,-1,0,0,12,"",1,12345
17,1,-1,0,3,12,"",1,12345
17,1,-1,0,82,-1,"",1,12345
17,1,-1,1,0,12,"",1,12345
17,1,-1,1,3,12,"",1,12345
17,1,-1,1,82,-1,"",1,12345
18,1,-1,1,12,-1,"",1,12345
18,1,-1,1,69,-1,"",1,12345
19,1,-1,0,12,-1,"",1,12345
20,1,-1,99,15,-1,"",1,12345
21,1,-1,0,92,-1,"",1,12345
21,1,-1,1,92,-1,"",1,12345
21,1,-1,99,12,-1,"",1,12345
22,1,-1,0,81,-1,"",1,12345
22,1,-1,1,81,-1,"",1,12345
23,1,-1,2,11,-1,"",1,12345
24,1,-1,99,13,-1,"",1,12345
25,1,-1,0,3,7,"",1,12345
25,1,-1,0,16,-1,"",1,12345
25,1,-1,0,93,-1,"",1,12345
25,1,-1,1,3,7,"",1,12345
25,1,-1,1,93,-1,"",1,12345
26,1,-1,2,9,-1,"",1,12345
