"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOfPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"190739","91239","1568",2020-11-04,"190739",1,16,10,99,99,,4,113,1,2020-11-17,,2020-11-04,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189576","91459","1568",2021-01-29,"189576",1,16,8,99,99,2021-01-29,8,8,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-21 00:00:00,2022-02-21 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189577","91501","1568",2021-01-06,"189577",1,16,8,99,99,2021-01-06,8,8,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-21 00:00:00,2022-02-21 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"191733","92039","1568",2020-10-05,"191733",1,16,3,99,99,2020-09-01,8,8,1,2020-10-05,,2020-10-05,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189658","92055","1568",2021-01-14,"189658",1,16,8,99,99,2021-01-14,8,8,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-03-01 00:00:00,2022-03-01 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189575","92191","1568",2021-09-07,"189575",1,16,5,99,99,2021-09-06,4,113,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-21 00:00:00,2022-02-21 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"191099","93423","1568",2021-07-02,"191099",1,16,5,99,99,2019-01-01,1,105,1,2021-07-02,,2021-07-02,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-09-30 00:00:00,2021-09-30 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"191524","93428","1568",2020-11-16,"191524",1,16,8,99,99,2020-11-01,1,,1,2020-11-16,,2020-11-16,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"191402","93431","1568",2021-03-31,"191402",1,16,5,99,99,2021-03-01,1,8,1,2021-03-31,,2021-03-31,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"190210","93434","1568",2021-06-25,"190210",1,16,2,99,99,2020-06-01,1,113,1,2021-06-25,,2021-06-25,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-03-08 00:00:00,2022-03-08 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
