" ","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. 7 days or less","0","0","0","0","0"
"b. 8-14 days","0","0","0","0","0"
"c. 15-21 days","0","0","0","0","0"
"d. 22 to 30 days","1","1","0","0","0"
"e. 31 to 60 days","0","0","0","0","0"
"f. 61 to 180 days","0","0","0","0","0"
"g. 181 to 365 days","4","3","1","0","0"
"h. 366 to 730 days (1 – 2 yrs.)","6","0","5","0","1"
"i. 731 days or more","4","2","1","1","0"
"j. Total (persons moved into housing)","15","6","7","1","1"
"k. Not yet moved into housing","22","12","8","2","0"
"l. Data not collected","3","2","0","0","1"
"m. Total persons","40","20","15","3","2"
