"1. Total number of persons served",19
"2. Number of adults (age 18 or over)",14
"3. Number of children (under age 18)",3
"4. Number of persons with unknown age",2
"5. Number of leavers",
"6. Number of adult leavers",
"7. Number of adult and head of household leavers",
"8. Number of stayers",
"9. Number of adult stayers",
"10. Number of veterans",7
"11. Number of chronically homeless persons",
"12. Number of youth under age 25",3
"13. Number of parenting youth under age 25 with children",
"14. Number of adult heads of household",14
"15. Number of child and unknown-age Heads of household",2
"16. Heads of households and adult stayers in the project 365 days or more",
