"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOfPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"181447","76773","882",2020-05-01,"181447",1,16,10,99,99,2019-08-14,1,101,1,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"0F586E2B583A62AB36721CC24F3C7442"
"181448","76774","882",2020-05-01,"181448",1,1,11,99,99,2018-09-13,2,102,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-26 00:00:00,"891",,"0F586E2B583A62AB36721CC24F3C7442"
"181448_26106","76775","882",2020-05-01,"181448",2,1,11,99,99,2018-09-13,2,102,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-10-25 00:00:00,"891",,"0F586E2B583A62AB36721CC24F3C7442"
"181449","76776","882",2020-05-01,"181449",1,14,11,1,1,2020-04-01,9,106,99,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"0F586E2B583A62AB36721CC24F3C7442"
"181450","76777","882",2020-05-01,"181450",1,34,2,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181451","76778","882",2020-05-01,"181451",1,18,3,99,99,2019-07-28,3,113,1,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-10-25 00:00:00,"891",,"0F586E2B583A62AB36721CC24F3C7442"
"181452","76779","882",2020-05-01,"181452",1,10,3,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181451_26107","76780","882",2020-05-01,"181451",2,18,3,99,99,2019-07-28,3,113,1,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"0F586E2B583A62AB36721CC24F3C7442"
"181453","76781","882",2020-05-01,"181453",1,2,10,1,1,2020-03-05,,107,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"0F586E2B583A62AB36721CC24F3C7442"
"181453_26109","76782","882",2020-05-01,"181453",2,32,10,1,1,2020-01-01,4,108,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"0F586E2B583A62AB36721CC24F3C7442"
