" ","AO:Adult with Disabling Condition","AO:Adult without Disabling Condition","AO:Total Adults","AO:% with Disabling Condition by Source","AC:Adult with Disabling Condition","AC:Adult without Disabling Condition","AC:Total Adults","AC:% with Disabling Condition by Source","UK:Adult with Disabling Condition","UK:Adult without Disabling Condition","UK:Total Adults","UK:% with Disabling Condition by Source"
"a. Earned Income","1","3","4","0.2500","","","","","","","",""
"b. Supplemental Security Income (SSI)","","","","","","","","","","","",""
"c. Social Security Disability Insurance (SSDI)","","","","","","","","","","","",""
"d. VA Service-Connected Disability Compensation","","","","","","","","","","","",""
"e. Private Disability Insurance","","","","","","","","","","","",""
"f. Worker's Compensation","","","","","","","","","","","",""
"g. Temporary Assistance for Needy Families (TANF)","","","","","","","","","","","",""
"h. Retirement Income from Social Security","","","","","","","","","","","",""
"i. Pension or retirement income from a former job","","","","","","","","","","","",""
"j. Child Support","","","","","","","","","","","",""
"k. Other source","1","","1","1.0000","","","","","","","",""
"l. No Sources","","","","","","","","","","","",""
"m. Unduplicated Total Adults","1","3","4","","","","","","","","",""
