PAT_ID,sex,first_name,middle_name,last_name,alias_list,birthdate,allergy_list,pcp,medicaid_id,tg,race,ethnicity,vet_status,death_date,ssn,housing_status,housing_status_timestamp,program,row_created,row_updated
A1234582,M,Curtis,,Botsford,,1982-07-15,LISINOPRIL,Kayli Schmeler,10000000047,,White,Non-Hispanic,No,,078-09-1820,Shelter,8/2/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.890,2018-05-09 18:16:01.890
13,F,Reanna,R,Kertzmann,,1981-08-21,"ACETAMINOPHEN, AMOXICILLIN, ASPIRIN, ATENOLOL, AZITHROMYCIN, BEE STING (NO ALERT), CHERRIES, CHLORTHALIDONE, HALOPERIDOL LACTATE, HYDROCODONE-ACETAMINOPHEN, IBUPROFEN, MEPERIDINE (PF), NSAIDS (NON-STEROIDAL ANTI-INFLAMMATORY DRUG), PEANUTS (NO ALERT), PENICILLIN",Mabelle Tillman,10000000066,,White,Non-Hispanic,No,,233-77-5389,Supportive Housing,8/3/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.891,2018-05-09 18:16:01.891
A1234624,M,Tatyana,,Weissnat,,1959-01-13,"CHERRIES, FISH CONTAINING PRODUCTS, KETOCONAZOLE, NALTREXONE ANALOGUES, PENICILLIN, RISPERIDONE, SHELLFISH CONTAINING PRODUCTS, STRAWBERRY",Ezequiel Hane,10000000062,,White,Hispanic,No,,491-27-8629,Other,8/4/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.892,2018-05-09 18:16:01.892
A1234595,M,Scotty,Eleck,Bernier,,1979-11-26,"ASPIRIN, LACTOSE",Jody McKenzie,10000000034,,Black,Non-Hispanic,No,,292-61-5408,Street,8/5/2018 1:00:00 PM,SDH,2018-05-09 18:16:01.893,2018-05-09 18:16:01.893
A1234578,F,Salma,,Cronin,Deon Schiller,1992-08-07,"BUSPIRONE, CLONAZEPAM, CODEINE, DIVALPROEX, FLUOXETINE, HALOPERIDOL, SERTRALINE",Carlee Strosin,10000000009,,White,Non-Hispanic,No,,505-40-9814,Shelter,8/6/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.894,2018-05-09 18:16:01.894
A1234608,M,Anais,,Carter,Aisha Johnston,1998-03-01,,,10000000028,,White,Non-Hispanic,No,,275-01-3194,Unknown,8/7/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.895,2018-05-09 18:16:01.895
A1234577,F,Katrine,,Kunde,Sebastian Goldner,1967-09-28,,Aisha Johnston,10000000024,,Black,Non-Hispanic,No,,885-92-9925,Housing with no Supportive Services,8/8/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.896,2018-05-09 18:16:01.896
A1234600,M,Myrtle,,McCullough,Randy Kulas,1958-12-26,"BEE STING (NO ALERT), SULFAMETHOXAZOLE-TRIMETHOPRIM, VANCOMYCIN",Sebastian Goldner,10000000003,,White,Non-Hispanic,No,,534-20-7817,Street,8/9/2018 1:00:00 PM,SDH,2018-05-09 18:16:01.897,2018-05-09 18:16:01.897
A1234586,F,Irma,,Halvorson,Marty Zieme,1981-03-27,"METRONIDAZOLE HCL, QUETIAPINE, SULFAMETHOXAZOLE-TRIMETHOPRIM",Randy Kulas,10000000012,,Black,Non-Hispanic,No,,554-15-9807,Housing with no Supportive Services,8/10/2018 1:00:00 PM,SDH,2018-05-09 18:16:01.898,2018-05-09 18:16:01.898
A1234604,M,Jessie,B,Lubowitz,,1962-08-09,,,10000000052,,White,Unknown,,,656-57-6631,Street,8/11/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.899,2018-05-09 18:16:01.899
A1234613,M,Alana,,Beier,,1971-05-25,HALOPERIDOL,Leonardo Fahey,10000000026,,White,Non-Hispanic,No,,704-52-7911,Shelter,8/12/2018 1:00:00 PM,SDH,2018-05-09 18:16:01.900,2018-05-09 18:16:01.900
A1234620,F,Mauricio,M,Romaguera,,1971-09-28,,,10000000002,,Unknown,Non-Hispanic,No,,117-11-1254,Shelter,8/13/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.901,2018-05-09 18:16:01.901
7,F,Lionel,S,Stehr,,1978-11-14,,Niko Gusikowski,10000000007,,White,Non-Hispanic,,,116-41-3356,Transitional Housing or Residential Treatment Program,8/14/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.902,2018-05-09 18:16:01.902
A1234568,M,Ari,,Kassulke,Leonardo Fahey,1991-06-02,,Nelle Sipes,10000000039,,Black,Non-Hispanic,Uncollected,,210-38-4335,Doubled Up,8/15/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.903,2018-05-09 18:16:01.903
A1234623,F,Salma,C,Bogisich,Else Rutherford,1995-12-07,,Nellie Hermann,10000000020,,White,Non-Hispanic,No,,508-34-4999,Transitional Housing or Residential Treatment Program,8/16/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.904,2018-05-09 18:16:01.904
A1234619,M,Kris,,Senger,Niko Gusikowski,1976-10-23,,Foster Terry,10000000040,,Unknown,Non-Hispanic,No,,390-81-0296,Doubled Up,8/17/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.905,2018-05-09 18:16:01.905
