PAT_ID,CARETEAM_ID,name,PCP_TYPE,RELATIONSHIP,email,phone,row_created,row_updated
A1234582,A123458_1,Kayli Schmeler,General,,,555-111-1212,2018-07-26 09:22:31.820,2018-07-26 09:22:31.820
13,A123458_2,"Mabelle, Tillman",,Care Coordinator,careteam1@example.com,555-111-1212,2018-07-26 09:22:31.821,2018-07-26 09:22:31.821
A1234624,A123458_3,Ezequiel Hane,Registered Nurse,Primary Care Team Member,,555-111-1212,2018-07-26 09:22:31.822,2018-07-26 09:22:31.822
A1234595,A123458_4,Jody McKenzie,Registered Nurse,Care Manager,,555-111-1212,2018-07-26 09:22:31.823,2018-07-26 09:22:31.823
A1234578,A123458_5,Carlee Strosin,General,,,555-111-1212,2018-07-26 09:22:31.824,2018-07-26 09:22:31.824
A1234608,A123458_6,Deon Schiller,Physician Assistant,Primary Care Team Member,,555-111-1212,2018-07-26 09:22:31.825,2018-07-26 09:22:31.825
A1234577,A123458_7,"Aisha, Johnston",General,,,555-111-1212,2018-07-26 09:22:31.826,2018-07-26 09:22:31.826
A1234600,A123458_8,Sebastian Goldner,General,,,555-111-1212,2018-07-26 09:22:31.827,2018-07-26 09:22:31.827
A1234586,A123458_9,Randy Kulas,,Care Coordinator,careteam2@example.com,555-111-1212,2018-07-26 09:22:31.828,2018-07-26 09:22:31.828
A1234604,A123458_10,Marty Zieme,Licensed Independent Clinical Social Worker,Mental Health Team Member,,555-111-1212,2018-07-26 09:22:31.829,2018-07-26 09:22:31.829
A1234613,A123458_11,Leonardo Fahey,Physician,Mental Health Primary Provider,,555-111-1212,2018-07-26 09:22:31.830,2018-07-26 09:22:31.830
A1234620,A123458_12,Else Rutherford,General,,,555-111-1212,2018-07-26 09:22:31.831,2018-07-26 09:22:31.831
7,A123458_13,Niko Gusikowski,Case Manager,Care Coordinator,careteam3@example.com,555-111-1212,2018-07-26 09:22:31.820,2018-07-26 09:22:31.820
A1234568,A123458_14,"Nelle, Sipes",Case Manager,Care Manager,careteam4@example.com,555-111-1212,2018-07-26 09:22:31.821,2018-07-26 09:22:31.821
A1234623,A123458_15,Nellie Hermann,Registered Nurse,Care Manager,careteam5@example.com,555-111-1212,2018-07-26 09:22:31.822,2018-07-26 09:22:31.822
A1234619,A123458_16,Foster Terry,General,,,555-111-1212,2018-07-26 09:22:31.823,2018-07-26 09:22:31.823
A1234614,A123458_17,Jody Daugherty,Registered Nurse,Care Manager,careteam6@example.com,555-111-1212,2018-07-26 09:22:31.824,2018-07-26 09:22:31.824
A1234596,A123458_18,"Cierra, Littel",General,,,555-111-1212,2018-07-26 09:22:31.825,2018-07-26 09:22:31.825
A1234607,A123458_19,Julianne Stokes,General,,,555-111-1212,2018-07-26 09:22:31.826,2018-07-26 09:22:31.826
A1234567,A123458_20,Marcus Brekke,,Care Coordinator,careteam7@example.com,555-111-1212,2018-07-26 09:22:31.827,2018-07-26 09:22:31.827
A1234601,A123458_21,"Laurel, Green",General,,,555-111-1212,2018-07-26 09:22:31.828,2018-07-26 09:22:31.828
A1234574,A123458_22,Dayne Reinger,Psychologist,Mental Health Primary Provider,,555-111-1212,2018-07-26 09:22:31.829,2018-07-26 09:22:31.829
12,A123458_23,Clark Roob,Case Manager,Care Manager,careteam8@example.com,555-111-1212,2018-07-26 09:22:31.830,2018-07-26 09:22:31.830
A1234593,A123458_24,Lorenz Nicolas,Registered Nurse,Care Manager,careteam9@example.com,555-111-1212,2018-07-26 09:22:31.831,2018-07-26 09:22:31.831
A1234594,A123458_25,Korbin Gerlach,Case Manager,Care Coordinator,careteam10@example.com,555-111-1212,2018-07-26 09:22:31.820,2018-07-26 09:22:31.820
