"",Total,Without Children,With Children And Adults,With Only Children,Unknown Household Type
Homeless Situations,0,0,0,0,0
Emergency shelter,2,2,0,0,0
Transitional housing for homeless persons,0,0,0,0,0
Place not meant for habitation,5,1,1,3,0
Safe Haven,0,0,0,0,0
Host Home,0,0,0,0,0
Homeless Subtotal,7,3,1,3,0
Institutional Settings,0,0,0,0,0
Psychiatric hospital or other psychiatric facility,0,0,0,0,0
Substance abuse treatment facility or detox center,0,0,0,0,0
Hospital or other residential non-psychiatric medical facility,0,0,0,0,0
"Jail, prison or juvenile detention facility",0,0,0,0,0
Foster care home or foster care group home,0,0,0,0,0
Long-term care facility or nursing home,0,0,0,0,0
Residential project or halfway house with no homeless criteria,0,0,0,0,0
Institution Subtotal,0,0,0,0,0
Other Locations,0,0,0,0,0
Permanent housing for formerly homeless persons,0,0,0,0,0
"Owned by client, no ongoing housing subsidy",0,0,0,0,0
"Owned by client, with ongoing housing subsidy",0,0,0,0,0
"Rental by client, with RRH or equivalent subsidy",0,0,0,0,0
"Rental by client, with HCV voucher",0,0,0,0,0
Rental by client in a public housing unit,0,0,0,0,0
"Rental by client, no ongoing housing subsidy",1,1,0,0,0
"Rental by client, with VASH housing subsidy",0,0,0,0,0
"Rental by client, with GPD TIP housing subsidy",0,0,0,0,0
"Rental by client, with other ongoing housing subsidy",0,0,0,0,0
Hotel or motel paid for without emergency shelter voucher,0,0,0,0,0
"Staying or living in a friend’s room, apartment or house",15,10,0,5,0
"Staying or living in a family member’s room, apartment or house",14,6,1,7,0
Client Doesn't Know/Refused,0,0,0,0,0
Data not collected,0,0,0,0,0
Other Subtotal,30,17,1,12,0
Total,37,20,2,15,0
