"ServicesID","EnrollmentID","PersonalID","DateProvided","RecordType","TypeProvided","OtherTypeProvided","SubTypeProvided","FAAmount","ReferralOutcome","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"7020","2142","6785","2015-11-13","200","200","","","","","2015-11-14 10:08:00","2015-11-14 10:08:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7021","2167","6795","2015-11-13","200","200","","","","","2015-11-14 10:08:00","2015-11-14 10:08:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7022","2142","6785","2015-11-17","200","200","","","","","2015-11-18 10:06:00","2015-11-18 10:06:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7023","2142","6785","2015-11-20","200","200","","","","","2015-11-22 07:40:00","2015-11-22 07:40:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7024","2167","6795","2015-11-21","200","200","","","","","2015-11-22 14:26:00","2015-11-22 14:26:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7025","2142","6785","2015-11-18","200","200","","","","","2015-11-26 09:08:00","2015-11-26 09:08:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7026","2167","6795","2015-11-22","200","200","","","","","2015-11-26 10:21:00","2015-11-26 10:21:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7027","2142","6785","2015-11-26","200","200","","","","","2015-11-29 07:54:00","2015-11-29 07:54:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7028","2142","6785","2015-11-28","200","200","","","","","2015-11-29 13:56:00","2015-11-29 13:56:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7029","2167","6795","2015-11-30","200","200","","","","","2015-12-08 07:32:00","2015-12-08 07:32:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7030","2142","6785","2015-11-30","200","200","","","","","2015-12-08 07:55:00","2015-12-08 07:55:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7031","2167","6795","2015-11-30","200","200","","","","","2015-12-08 08:04:00","2015-12-08 08:04:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7032","2160","6783","2016-01-02","200","200","","","","","2016-01-13 12:20:00","2016-01-13 12:20:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7033","2160","6783","2016-01-10","200","200","","","","","2016-01-13 12:20:00","2016-01-13 12:20:00","eusebio","","77ebf652741208fa9a36c52556058416"
"7034","2160","6783","2016-01-11","200","200","","","","","2016-01-13 12:20:00","2016-01-13 12:20:00","eusebio","","77ebf652741208fa9a36c52556058416"
