ExitID,EnrollmentID,PersonalID,ExitDate,Destination,OtherDestination,AssessmentDisposition,OtherDisposition,HousingAssessment,SubsidyInformation,ProjectCompletionStatus,EarlyExitReason,ExchangeForSex,ExchangeForSexPastThreeMonths,CountOfExchangeForSex,AskedOrForcedToExchangeForSex,AskedOrForcedToExchangeForSexPastThreeMonths,WorkPlaceViolenceThreats,WorkplacePromiseDifference,CoercedToContinueWork,LaborExploitPastThreeMonths,CounselingReceived,IndividualCounseling,FamilyCounseling,GroupCounseling,SessionCountAtExit,PostExitCounselingPlan,SessionsInPlan,DestinationSafeClient,DestinationSafeWorker,PosAdultConnections,PosPeerConnections,PosCommunityConnections,AftercareDate,AftercareProvided,EmailSocialMedia,Telephone,InPersonIndividual,InPersonGroup,CMExitReason,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
1,2144,6789,2018-05-08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-08 12:23:00,2018-05-08 12:23:00,andre.ha,,77ebf652741208fa9a36c52556058416
2,2145,6761,2018-05-08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-10 12:23:00,2018-05-08 12:23:00,verlene,,77ebf652741208fa9a36c52556058416
3,2146,6800,2018-05-08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-08 12:23:00,2018-05-08 12:23:00,verlene,,77ebf652741208fa9a36c52556058416
,6788,148,2018-03-01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-03-05 12:23:00,2018-03-01 12:23:00,cordell,,77ebf652741208fa9a36c52556058416
,6807,148,2017-02-19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-19 12:23:00,2017-02-19 12:23:00,verlene,,77ebf652741208fa9a36c52556058416
,6792,148,2017-06-21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-21 12:23:00,2017-06-21 12:23:00,cordell,,77ebf652741208fa9a36c52556058416
,6798,148,2018-05-17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-17 12:23:00,2018-05-17 12:23:00,cordell,,77ebf652741208fa9a36c52556058416
,6784,148,2016-05-10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-11 12:23:00,2016-05-10 12:23:00,cordell,,77ebf652741208fa9a36c52556058416
,6783,148,2015-12-15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-15 12:23:00,2015-12-15 12:23:00,verlene,,77ebf652741208fa9a36c52556058416
,6755,148,2015-10-06,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-06 12:23:00,2015-10-06 12:23:00,cordell,,77ebf652741208fa9a36c52556058416
,6801,148,2017-03-09,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-09 12:23:00,2017-03-09 12:23:00,cordell,,77ebf652741208fa9a36c52556058416
