"AssessmentID","EnrollmentID","PersonalID","AssessmentDate","AssessmentLocation","AssessmentType","AssessmentLevel","PrioritizationStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4770474","181386","76769",2019-10-28,"Agency Two",3,2,2,2021-08-18 00:00:00,2021-08-18 00:00:00,"8",,"E79AAC483B90809B4FDFFB272AA252BD"
"4770483","181389","76772",2021-04-01,"Agency One",3,2,2,2021-08-18 00:00:00,2021-08-18 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
"4773595","181659","76805",2021-06-01,"Agency Two",1,2,2,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
"4773597","181655","76801",2021-05-01,"Agency One",3,1,2,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
"4773742","181384","76767",2021-04-21,"Agency One",3,2,2,2021-09-22 00:00:00,2021-09-22 00:00:00,"8",,"E79AAC483B90809B4FDFFB272AA252BD"
"4773744","181386","76769",2021-04-01,"Agency One",3,1,2,2021-09-22 00:00:00,2021-09-22 00:00:00,"8",,"E79AAC483B90809B4FDFFB272AA252BD"
"4773745","181390","62114",2021-08-18,"Agency Four",3,1,2,2021-09-22 00:00:00,2021-09-22 00:00:00,"8",,"E79AAC483B90809B4FDFFB272AA252BD"
"4773746","181388","76771",2021-07-15,"Agency One",3,2,2,2021-09-22 00:00:00,2021-09-22 00:00:00,"8",,"E79AAC483B90809B4FDFFB272AA252BD"
"4773747","181385","76768",2021-04-01,"Agency One",3,2,1,2021-09-22 00:00:00,2021-09-22 00:00:00,"8",,"E79AAC483B90809B4FDFFB272AA252BD"
"4773748","181672","76809",2021-08-25,"Agency One",1,2,2,2021-09-22 00:00:00,2021-09-22 00:00:00,"8",,"E79AAC483B90809B4FDFFB272AA252BD"
"4773749","181640","76778",2021-04-01,"Agency One",3,2,2,2021-09-22 00:00:00,2021-09-22 00:00:00,"8",,"E79AAC483B90809B4FDFFB272AA252BD"
"4773752","181387","76770",2021-03-14,"Agency One",3,2,2,2021-09-22 00:00:00,2021-09-22 00:00:00,"8",,"E79AAC483B90809B4FDFFB272AA252BD"
