PersonalID,FirstName,MiddleName,LastName,NameSuffix,NameDataQuality,SSN,SSNDataQuality,DOB,DOBDataQuality,AmIndAKNative,Asian,BlackAfAmerican,HispanicLatinaeo,MidEastNAfrican,NativeHIPacific,White,RaceNone,AdditionalRaceEthnicity,Woman,Man,NonBinary,CulturallySpecific,Transgender,Questioning,DifferentIdentity,GenderNone,DifferentIdentityText,VeteranStatus,YearEnteredService,YearSeparated,WorldWarII,KoreanWar,VietnamWar,DesertStorm,AfghanistanOEF,IraqOIF,IraqOND,OtherTheater,MilitaryBranch,DischargeStatus,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
528656,Herringbone,,Contrivance,Jr.,1,227930267,1,1990-07-24,1,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2015-01-06 10:19:36,2015-09-30 17:18:23,28,,1036
594380,Latticework,Figure,Gimmick,,1,464815587,1,1976-06-02,1,0,0,0,0,0,0,1,,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2016-11-21 13:54:46,2016-11-21 13:54:46,27,,1036
595460,Attitude,Framework,Pride,,1,194140964,1,1968-10-28,1,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,2016-12-10 13:49:32,2016-12-10 13:49:32,16,,1036
599921,Traits,,Potato,,1,848189461,1,1974-05-17,1,0,0,1,0,0,0,0,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,2017-03-03 11:03:43,2017-06-21 17:04:07,25,,1036
602304,Sacking,,Main,,1,186983313,1,1972-06-18,1,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2017-04-17 15:07:32,2017-04-17 15:07:32,25,,1036
620743,Snap,Parasite,Extenuation,,1,418606611,1,1987-08-16,1,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2018-03-14 09:34:11,2018-03-14 09:34:11,28,,1036
622187,Cheesecloth,J,Corn,,1,701797921,1,1983-10-05,1,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,2018-04-16 11:14:02,2018-04-16 11:14:02,27,,1036
628244,Drilling,Floridness,Produce,,1,675605315,1,1987-10-15,1,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2018-08-01 20:33:48,2018-08-16 12:49:50,30,,1036
631690,Godsend,,Bracken,,1,620190097,1,1979-04-05,1,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2018-10-03 00:36:56,2018-10-03 16:12:23,27,,1036
649183,Pennon,,Temper,,1,293036611,1,1973-06-12,1,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2019-08-27 12:41:42,2019-08-27 12:41:42,27,,1036
649475,Richness,Badge,Stage,,1,232371025,1,1951-01-30,1,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,,,1,1971,1973,0,0,1,0,0,0,0,0,1,1,2019-09-01 15:12:58,2019-09-01 15:25:39,23,,1036
652104,Huck,I,Primary,,1,495680929,1,1969-03-23,1,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2019-10-22 10:20:55,2022-01-26 16:35:39,27,,1036
652404,Countenance,C,Horseradish,,1,381657532,1,1977-02-23,1,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2019-10-28 11:13:22,2019-10-28 11:13:22,27,,1036
656161,Treasure,,Turnip,,1,172860282,1,1997-07-04,1,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2020-01-13 12:09:06,2020-01-13 12:30:15,28,,1036
657977,Glim,J,Linoleum,,1,563537486,1,1993-10-02,1,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,2020-02-18 11:10:22,2020-02-18 11:10:22,30,,1036
663494,Weaving,K,Sway,Sr,1,627026690,1,1980-07-09,1,1,0,0,0,0,0,1,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2020-07-02 11:18:30,2020-07-02 11:18:30,60,,1036
671594,Seersucker,,Vegetarian,,1,115279350,1,1968-12-16,1,0,0,1,0,0,0,0,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,2020-11-30 09:02:50,2020-11-30 09:02:50,28,,1036
674923,Trace,,Aquamarine,,1,798692943,1,1960-01-29,1,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,,,1,,,,,,,,,,,,,2021-01-14 10:49:34,2021-05-10 13:17:16,27,,1036
676251,Lavender,,Climber,,1,132510673,1,1985-06-25,1,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,2021-01-27 13:17:41,2021-01-27 13:17:41,27,,1036
677848,Garniture,,Clover,,1,599318909,1,1967-03-19,1,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,2021-02-15 08:36:52,2021-04-22 14:45:42,28,,1036
678521,Protagonist,,Label,,99,658932003,1,1962-05-09,1,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2021-02-23 13:07:12,2022-06-24 10:02:16,28,,1036
681195,Open,,Mohair,,1,553440041,1,1966-01-24,1,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2021-04-12 12:27:45,2021-04-12 12:28:53,27,,1036
683544,Parsonage,,Sand,,1,739641585,1,1970-04-11,1,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2021-06-04 13:40:31,2021-06-07 14:59:39,28,,1036
683819,Vine,,Gamboge,,1,891753884,1,1992-09-12,1,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2021-06-10 10:58:22,2021-06-10 10:58:22,28,,1036
683911,Preview,,Rag,,1,578554182,1,1982-11-23,1,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2021-06-14 08:07:51,2021-06-14 08:07:51,27,,1036
683921,Soften,Architectonics,Napery,,1,133723762,1,1959-09-11,1,0,0,1,0,0,0,0,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,2021-06-14 08:51:17,2021-06-14 08:51:17,28,,1036
